PCODE,governorate,district,cluster,camp_name,geo,TypeSite,girls,boys,women,men,individual,Shelter,NFI,Water,Sanitation,Waste Removal,Food,shelter_cat,NFI_cat,water_cat,sanitation_cat,waste_cat,Food_cat
CP000121,Idleb,Harim,Karama,Al Manara,"36.264585,36.6958721",IS,172,213,158,157,700,1,1,1,1,1,0.86,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,2. Mostly covered
CP000120,Idleb,Harim,Karama,Al Mahabbah,"36.375375,36.772364",IS,204,313,163,131,811,1,1,1,1,1,0.9,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,2. Mostly covered
CP000118,Idleb,Harim,Karama,Al Karama,"36.381182,36.673619",IS,1027,946,696,528,3197,1,1,1,1,1,0.9,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,2. Mostly covered
CP000117,Idleb,Harim,Karama,Al Ikhlas,"36.226507,36.639933",IS,165,184,150,141,640,1,1,1,1,1,0.84,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,2. Mostly covered
CP000116,Idleb,Harim,Karama,Al Ikhaa,"36.296511,36.688563",IS,534,463,421,326,1744,1,1,1,1,1,0.9,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,2. Mostly covered
CP000115,Idleb,Harim,Karama,Al Hijaz,"36.319834,36.69374",IS,120,160,100,80,460,1,1,1,1,1,0.9,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,2. Mostly covered
CP000114,Idleb,Harim,Karama,Al Haq,"36.195281,36.725395",IS,83,115,119,104,421,1,1,1,1,1,0.9,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,2. Mostly covered
CP000113,Idleb,Jisr-Ash-Shugur,Kherbet Eljoz,Salah Alden (Kherbet Eljoz),"35.948245,36.215875",IS,857,1003,939,828,3627,1,1,1,1,1,0,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
CP000112,Idleb,Harim,Karama,Al Farouk,"36.237194,36.753152",IS,232,295,178,143,848,1,1,1,1,1,0.9,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,2. Mostly covered
CP000111,Idleb,Harim,Karama,Al Faraj,"36.279604,36.700114",IS,251,238,174,134,797,1,1,1,1,1,0.9,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,2. Mostly covered
CP000110,Idleb,Harim,Karama,Al Fadal,"36.292917,36.728794",IS,102,93,115,115,425,1,1,1,1,1,0.86,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,2. Mostly covered
CP000109,Idleb,Harim,Karama,Al Ataa,"36.353285,36.622473",IS,282,341,204,194,1021,1,1,1,1,1,0.9,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,2. Mostly covered
CP000108,Idleb,Harim,Karama,Al Asil,"36.314861,36.658513",IS,196,190,152,144,682,1,1,1,1,1,0.88,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,2. Mostly covered
CP000107,Idleb,Harim,Karama,Al Aqsa,"36.363769,36.788911",IS,270,208,183,149,810,1,1,1,1,1,0.9,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,2. Mostly covered
CP000106,Idleb,Harim,Karama,Al Ahrar,"36.228648,36.640012",IS,274,270,231,202,977,1,1,1,1,1,0.86,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,2. Mostly covered
CP000104,Idleb,Harim,Karama,Ahel Halep,"36.346836,36.703266",IS,157,190,101,101,549,1,1,1,1,1,0.9,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,2. Mostly covered
CP000103,Idleb,Harim,Karama,Ahel Al Sham,"36.300047,36.726047",IS,186,221,172,150,729,1,1,1,1,1,0.92,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,2. Mostly covered
CP000075,Idleb,Harim,Big Hir Jamus,Samidoon,"36.09928,36.39674",PC,760,769,571,504,2604,0.4,0.2,0.85,0.85,0.95,0,3. Partially covered,3. Partially covered,2. Mostly covered,2. Mostly covered,2. Mostly covered,4. Not covered - N/A
CP000074,Idleb,Harim,Big Hir Jamus,Kadimoon,"36.09454,36.37938",PC,680,631,490,396,2197,0.5,0.15,0.85,0.85,0.95,0,3. Partially covered,3. Partially covered,2. Mostly covered,2. Mostly covered,2. Mostly covered,4. Not covered - N/A
CP000073,Idleb,Harim,Big Hir Jamus,Ayidoun,"36.114054,36.382756",PC,703,643,707,501,2554,0.6,0.2,0.85,0.5,0.95,0,2. Mostly covered,3. Partially covered,2. Mostly covered,3. Partially covered,2. Mostly covered,4. Not covered - N/A
CP000072,Idleb,Harim,Bab Al Hawa,Termanin,"36.2814669150001,36.7576635140001",IS,22,40,22,20,104,1,0,0,0,0,0,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A
CP000071,Idleb,Harim,Bab Al Hawa,Taiba City,"36.214942,36.594669",IS,589,656,274,233,1752,0,0,0,0,0,0,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A
CP000070,Idleb,Harim,Bab Al Hawa,Shahba'2,"36.21557,36.65747",IS,102,111,100,90,403,0,0,0,0,0,0,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A
CP000067,Idleb,Harim,Bab Al Hawa,Shahba'1 (Bab Al Hawa Lower/1),"36.205383,36.79514",IS,241,217,146,111,715,1,0,0,0,0,0,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A
